Symbol,Date,Close,High,Low,Open,Volume
GOOGL,2011-10-13,279.7658,279.7708,274.2755,275.7419,11364012
GOOGL,2011-10-14,296.1267,300.0905,294.0697,299.6651,17047965
GOOGL,2011-10-17,291.4872,296.2017,289.28,292.1428,8008843
GOOGL,2011-10-18,295.5411,296.5671,288.9797,290.3761,7597624
GOOGL,2011-10-19,290.6313,296.3168,289.8906,293.9596,5857932
GOOGL,2011-10-20,292.1178,294.7303,290.0358,291.2319,6751596
GOOGL,2011-10-21,295.5311,296.6622,293.6342,295.0406,6781894
GOOGL,2011-10-24,298.4989,300.2757,293.5341,293.6643,6848460
GOOGL,2011-10-25,291.8625,297.7883,291.7074,296.7873,5075971
GOOGL,2011-10-26,293.439,295.3759,286.7075,295.2658,5741816
GOOGL,2011-10-27,299.625,301.642,296.9374,299.4999,7554124
GOOGL,2011-10-28,300.3607,301.4418,297.4129,297.548,5011438
GOOGL,2011-10-31,296.6071,300.1355,296.1216,297.8533,5110524
GOOGL,2011-11-01,289.6053,293.0387,288.6544,290.1459,6244347
GOOGL,2011-11-02,292.6933,294.2648,290.5212,292.7334,4239690
GOOGL,2011-11-03,299.0395,299.0395,292.1428,293.7844,5334321
GOOGL,2011-11-04,298.3588,300.1606,296.502,297.0375,5665268
GOOGL,2011-11-07,304.4597,304.6849,296.4019,296.9474,6711231
GOOGL,2011-11-08,306.4667,307.4826,302.0924,305.0353,6052901
GOOGL,2011-11-09,300.7661,304.9902,299.62,302.4227,7414939
GOOGL,2011-11-10,297.8283,303.2672,296.0666,302.9382,5731644
GOOGL,2011-11-11,304.4697,306.3415,299.59,300.9413,7946939
GOOGL,2011-11-14,306.797,309.3394,304.1845,304.2946,6371690
GOOGL,2011-11-15,308.5787,309.3394,305.5458,306.6969,5346741
GOOGL,2011-11-16,306.0312,309.4495,305.6008,306.3365,5215506
GOOGL,2011-11-17,300.7261,306.4416,298.6791,305.3206,6980180
GOOGL,2011-11-18,297.7282,302.5429,297.1627,300.7862,6568871
GOOGL,2011-11-21,290.7514,294.5351,286.3222,294.1648,5997520
GOOGL,2011-11-22,290.281,292.7684,287.8987,290.281,4806500
GOOGL,2011-11-23,285.3312,290.4061,285.3312,288.0538,4647468
GOOGL,2011-11-24,285.3312,285.3312,285.3312,285.3312,0
GOOGL,2011-11-25,281.7728,287.4132,280.9369,282.8688,3121657
GOOGL,2011-11-28,294.38,294.6953,288.5293,290.5813,5652457
GOOGL,2011-11-29,291.7474,295.466,290.9466,294.2248,3661690
GOOGL,2011-11-30,299.9854,300.0454,296.3318,299.2647,6787980
